index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
2825,25,1,21,0,0,0,0,0,0,0,25.0,1
2827,104,6,29,0,0,6,0,2,2,10,16.5,1
2829,49,5,11,0,1,4,0,0,2,0,9.0,1
2832,156,20,35,1,2,6,0,1,2,4,6.85,1
2833,211,15,78,0,1,0,20,3,2,38,13.133333333333333,1
2838,107,14,26,4,0,2,0,0,3,2,6.714285714285714,1
2839,13,3,5,1,0,1,0,0,0,0,3.6666666666666665,0
2841,83,7,19,0,2,8,0,1,3,1,11.0,1
2842,65,9,16,0,1,2,0,1,3,2,6.333333333333333,1
2847,101,16,30,1,2,0,0,1,2,9,5.375,1
2849,75,10,28,0,0,0,0,0,3,14,6.6,1
2850,91,4,20,0,0,5,0,1,1,10,22.0,1
2855,121,13,33,4,0,4,0,2,3,10,8.384615384615385,1
2857,112,12,24,0,0,0,0,1,1,6,8.416666666666666,1
2858,120,4,33,0,0,4,4,1,1,20,29.25,1
2859,54,5,15,0,2,5,0,0,2,2,10.0,1
2861,70,8,23,6,0,0,4,1,2,2,7.875,1
2862,33,5,10,4,0,0,0,2,2,0,5.8,1
2865,57,8,15,3,2,0,0,1,3,1,6.25,1
2869,34,5,8,0,1,1,0,0,2,1,6.0,1
2871,99,14,29,5,1,0,4,1,2,4,6.142857142857143,1
2874,52,5,14,0,3,4,0,0,2,2,9.6,1
2877,23,3,9,0,3,0,0,1,1,3,7.0,1
2879,156,5,44,0,0,4,10,2,2,24,30.4,1
2880,42,5,15,0,0,0,0,2,2,4,7.6,1
2883,26,3,10,2,2,0,0,0,0,0,8.0,1
2884,56,7,16,0,3,1,0,2,2,4,7.142857142857143,1
2885,119,13,31,4,0,4,0,2,3,8,8.23076923076923,1
2889,44,4,17,1,0,0,0,0,1,9,10.25,1
2891,37,5,10,0,0,2,0,0,2,1,6.6,1
2892,23,3,9,0,1,0,0,1,1,3,7.0,1
2895,114,12,26,1,0,0,0,1,1,9,8.583333333333334,1
2898,120,7,28,0,2,4,0,1,1,14,16.285714285714285,1
2907,136,16,36,0,1,3,0,1,1,14,7.5625,1
2911,96,12,22,0,0,3,0,0,1,2,7.083333333333333,1
2913,49,5,20,0,1,0,0,2,2,8,9.0,1
2915,17,4,3,0,0,0,0,0,0,0,3.5,0
2918,31,5,6,0,0,2,0,0,0,0,5.4,0
2921,54,5,18,4,0,0,4,1,1,4,10.0,1
2924,35,3,11,0,2,0,0,0,0,2,11.0,1
2926,61,5,15,0,3,6,0,0,2,1,11.4,1
2931,78,3,19,0,1,0,0,4,0,0,25.333333333333332,1
2936,22,3,8,1,1,0,0,1,1,2,6.666666666666667,1
2938,93,5,36,0,0,1,6,2,2,16,17.8,1
2940,41,5,11,1,1,2,0,0,2,2,7.4,1
2946,70,5,15,0,2,9,0,0,2,0,13.2,1
2947,209,15,76,0,0,1,20,3,3,30,13.0,1
2949,70,9,16,1,0,4,0,1,3,1,6.888888888888889,1
2951,87,10,21,1,2,2,0,0,1,2,7.8,1
2953,72,8,16,1,0,6,0,0,2,1,8.125,1
2954,21,4,6,0,1,2,0,0,0,0,4.5,0
2960,42,5,12,1,1,2,0,0,2,3,7.6,1
2962,205,13,58,4,0,3,6,2,2,28,14.846153846153847,1
2967,63,5,16,0,0,7,0,0,2,2,11.8,1
2970,50,6,15,4,0,0,0,2,2,2,7.5,1
2971,53,9,14,0,2,0,0,1,0,2,5.0,1
2975,219,15,77,4,1,0,20,3,3,32,13.666666666666666,1
2976,69,5,15,0,3,8,0,0,2,0,13.0,1
2978,40,1,4,0,1,0,0,0,0,0,40.0,0
2979,32,1,3,0,0,0,0,0,0,0,32.0,0
2980,37,8,9,0,0,0,0,0,0,0,3.75,0
2981,11,1,7,0,0,0,0,0,0,0,11.0,1
2984,35,5,10,0,0,0,0,1,1,3,6.2,1
2985,98,12,29,0,0,2,0,1,2,4,7.25,1
2987,94,4,21,0,0,6,0,1,1,11,22.75,1
2988,111,12,27,0,0,2,0,1,2,8,8.333333333333334,1
2989,59,5,16,1,2,6,0,0,2,2,11.0,1
2990,38,1,3,0,0,0,0,0,0,2,38.0,1
2991,51,5,12,0,2,5,0,0,2,0,9.4,1
2994,37,3,13,0,2,0,0,0,0,4,11.666666666666666,1
2995,62,8,20,1,2,0,0,1,3,8,6.875,1
2997,125,5,37,0,0,3,6,2,2,18,24.2,1
2999,177,6,53,4,0,4,14,2,2,24,28.666666666666668,1
3001,31,5,6,0,0,0,0,2,2,0,5.4,1
3002,185,14,49,4,0,5,0,2,3,20,12.285714285714286,1
3003,17,1,3,0,1,0,0,0,0,0,17.0,0
3004,34,6,8,0,0,2,0,0,0,0,4.833333333333333,0
3006,38,1,3,0,1,0,0,0,0,0,38.0,0
3007,227,15,75,0,1,0,20,3,3,36,14.2,1
3012,22,4,7,0,0,2,0,0,0,0,4.75,0
3017,78,6,19,3,0,1,2,2,2,5,12.166666666666666,1
3020,67,3,20,2,2,1,0,1,1,9,21.666666666666668,1
3021,220,17,75,4,0,1,20,2,4,30,12.0,1
3023,29,6,7,0,1,1,0,0,0,0,4.0,0
3027,64,5,17,0,0,1,0,2,2,6,12.0,1
3031,41,4,17,4,0,0,0,1,1,8,9.5,1
3034,26,1,3,0,0,0,0,0,0,0,26.0,0
3041,21,4,9,1,3,0,0,0,1,1,4.5,1
3047,62,8,19,0,0,0,0,1,3,9,6.875,1
3048,30,1,4,0,2,0,0,0,0,0,30.0,0
3051,60,5,21,0,0,1,0,2,2,8,11.2,1
3056,107,10,25,3,0,8,2,1,4,1,9.8,1
3060,232,17,76,4,1,0,20,2,4,32,12.705882352941176,1
3061,31,6,6,0,0,1,0,0,0,0,4.333333333333333,0
3068,71,5,16,1,2,9,0,0,2,0,13.4,1
3072,37,5,11,0,1,1,0,0,2,3,6.6,1
3073,164,22,40,0,0,6,0,2,3,4,6.5,1
3075,129,16,37,4,0,3,0,2,3,8,7.125,1
3076,49,3,12,0,0,1,0,1,1,5,15.666666666666666,1
3078,206,14,49,1,0,3,6,1,1,23,13.785714285714286,1
3084,91,7,29,2,0,1,0,1,3,14,12.142857142857142,1
3092,118,14,33,4,0,3,0,1,2,6,7.5,1
3093,42,5,15,4,0,1,0,2,2,2,7.6,1
3094,64,6,18,0,2,1,0,1,2,8,9.833333333333334,1
3095,195,14,51,0,0,5,0,2,3,24,13.0,1
3096,27,3,11,2,2,0,0,0,0,2,8.333333333333334,1
3098,51,5,13,0,1,4,0,0,2,1,9.4,1
3100,117,14,26,1,0,4,0,1,2,5,7.428571428571429,1
3105,42,7,11,1,0,0,0,2,2,1,5.142857142857143,1
3106,121,14,29,0,2,2,0,2,3,5,7.714285714285714,1
3107,46,1,5,0,1,0,0,0,0,0,46.0,0
3108,67,8,27,4,0,0,0,1,3,14,7.5,1
3109,328,1,324,0,0,0,0,0,0,0,328.0,1
3111,168,7,48,1,2,4,10,2,2,23,23.142857142857142,1
3112,30,5,5,0,1,0,0,0,0,0,5.2,0
3113,165,7,49,0,0,4,10,1,3,24,22.714285714285715,1
3114,51,5,22,0,1,1,0,2,2,8,9.4,1
3115,19,3,9,0,0,0,0,0,1,5,5.666666666666667,1
3119,63,10,20,0,0,1,0,1,0,8,5.4,1
3120,126,10,39,4,0,4,0,2,3,18,11.7,1
3122,125,16,32,1,2,3,0,1,2,4,6.875,1
3123,112,14,29,4,0,2,0,2,3,4,7.071428571428571,1
3124,69,8,27,0,0,0,0,0,3,14,7.75,1
3127,68,5,14,0,1,8,0,0,2,0,12.8,1
3128,220,15,78,0,0,0,20,3,3,34,13.733333333333333,1
3132,88,12,25,0,0,0,0,1,1,7,6.416666666666667,1
3133,207,17,67,0,0,0,0,1,3,36,11.235294117647058,1
3134,80,4,21,3,2,1,0,1,1,9,19.25,1
3136,114,14,31,4,0,2,0,2,3,4,7.214285714285714,1
3139,22,3,8,0,1,0,0,1,1,3,6.666666666666667,1
3141,53,5,21,4,0,1,0,2,2,10,9.8,1
3144,1055,1,25,0,0,0,0,0,0,0,1055.0,1
3145,164,7,47,0,0,4,10,1,3,22,22.571428571428573,1
3146,35,5,5,0,0,1,0,0,0,0,6.2,0
3147,54,7,18,4,0,1,0,1,3,6,6.857142857142857,1
3148,114,6,31,0,0,6,0,2,2,14,18.166666666666668,1
3149,11,2,2,1,0,0,0,0,0,0,5.0,0
3153,167,7,47,0,2,4,10,2,2,23,23.0,1
3155,20,3,6,1,1,0,0,1,1,0,6.0,1
3156,75,9,22,4,0,0,0,2,3,6,7.444444444444445,1
3158,20,3,8,0,2,0,0,1,1,3,6.0,1
3160,207,13,52,4,0,3,6,2,2,24,15.0,1
3169,56,5,13,1,0,6,0,0,2,1,10.4,1
3172,50,5,15,0,2,4,0,0,2,3,9.2,1
3176,115,14,29,0,2,2,0,2,3,5,7.285714285714286,1
3179,20,3,6,0,1,0,0,1,1,1,6.0,1
3188,223,15,71,0,1,0,20,3,3,32,13.933333333333334,1
3189,90,9,20,0,0,8,0,1,3,2,9.11111111111111,1
3192,216,15,73,0,2,1,20,3,3,31,13.466666666666667,1
3194,37,3,13,1,2,0,0,0,0,5,11.666666666666666,1
3196,45,5,14,1,3,0,0,2,2,3,8.2,1
3198,21,3,7,0,3,0,0,1,1,0,6.333333333333333,1
3201,39,4,15,0,0,0,0,1,1,6,9.0,1
3202,21,2,8,0,0,0,0,0,0,4,10.0,1
3203,31,5,9,0,2,0,0,1,2,2,5.4,1
3204,106,12,29,4,0,2,0,1,2,6,7.916666666666667,1
3212,39,2,11,0,0,0,0,2,0,0,19.0,1
3213,30,5,6,0,0,1,0,0,0,0,5.2,0
3215,185,15,46,1,2,6,0,2,3,19,11.4,1
3216,211,15,78,4,1,0,20,3,2,34,13.133333333333333,1
3217,262,20,91,1,2,0,26,3,4,40,12.15,1
3219,39,7,12,4,0,0,0,0,2,2,4.714285714285714,1
3220,36,3,12,0,2,0,0,0,0,3,11.333333333333334,1
3223,94,9,21,0,1,8,0,1,3,1,9.555555555555555,1
3230,68,8,22,1,0,0,0,1,2,10,7.625,1
3233,59,9,14,1,1,1,0,1,3,1,5.666666666666667,1
3238,200,15,64,4,0,0,0,2,2,34,12.4,1
3239,35,3,11,1,2,0,0,0,0,3,11.0,1
3241,85,5,28,6,0,1,0,2,2,14,16.2,1
3246,87,1,83,0,0,0,0,0,0,0,87.0,1
3247,99,9,22,1,1,9,0,1,3,1,10.11111111111111,1
