index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
2199,106,12,22,0,0,0,0,1,1,8,7.916666666666667,1
2200,161,5,48,4,0,4,10,2,2,24,31.4,1
2202,13,3,4,0,0,1,0,0,0,0,3.6666666666666665,0
2205,20,3,8,1,0,0,0,1,1,3,6.0,1
2207,12,2,5,0,1,0,1,0,0,0,5.5,1
2209,36,5,9,0,3,0,0,2,2,0,6.4,1
2210,35,5,15,4,0,0,0,1,2,6,6.2,1
2214,216,15,57,0,0,3,6,1,3,28,13.466666666666667,1
2217,94,5,36,4,0,1,6,2,2,16,18.0,1
2218,23,4,5,0,0,1,0,0,0,0,5.0,0
2220,103,11,25,0,2,4,0,1,2,5,8.454545454545455,1
2223,46,5,11,1,2,4,0,0,2,0,8.4,1
2225,105,12,25,1,2,2,0,1,2,4,7.833333333333333,1
2226,127,16,33,1,2,3,0,2,3,5,7.0,1
2227,33,5,6,0,0,1,0,0,0,0,5.8,0
2228,156,20,36,1,2,6,0,1,2,6,6.85,1
2231,112,14,28,1,2,0,0,2,2,6,7.071428571428571,1
2232,32,1,3,0,0,0,0,0,0,0,32.0,0
2234,123,15,30,0,0,4,0,1,4,6,7.266666666666667,1
2237,213,15,80,4,1,0,20,3,2,36,13.266666666666667,1
2239,81,12,19,1,2,0,0,2,1,1,5.833333333333333,1
2242,75,8,27,0,0,1,0,2,3,10,8.5,1
2245,28,6,8,0,0,1,0,0,0,0,3.8333333333333335,0
2248,19,3,7,0,0,0,0,1,1,3,5.666666666666667,1
2249,71,5,17,0,1,8,0,0,2,2,13.4,1
2250,20,4,7,0,1,2,0,0,0,0,4.25,0
2253,49,5,11,0,3,4,0,0,2,0,9.0,1
2257,61,8,17,1,2,0,0,2,3,5,6.75,1
2258,70,6,19,4,0,1,0,0,2,8,10.833333333333334,1
2260,16,4,7,0,0,0,0,0,1,3,3.25,1
2262,121,16,31,0,2,0,0,2,2,7,6.625,1
2263,92,10,19,1,0,2,0,0,1,2,8.3,1
2266,7,2,2,0,0,1,0,0,0,0,3.0,0
